Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
186,🤖 Update GH actions with pinned versions and remove unused workflow (#1993),0.5678792,resource/kubernetes_cron_job_v1: Fix annotation logic to prevent internalkeys from being removed in templates [GH-1983]," Force new resource when changing apiVersion, Kind, metadata name or namespace",0
187,Add Share Process Namespace option,0.4959563,Add mount_propagation attribute to container volume mount, Fix CSI pod volume.,0
188,Add checks for min TF version and feature flag,0.6514174,Update acceptance tests for tfproviderlint (#887),,0
189,Mention csi in persistent_volume_source (#1081),0.64202374,* Add support for CSI volume type in persistent_volume resource (#817),,0
190,Apply suggestions from code review,0.43230236,Add validations to validating_webhook_configuration (#1279),  Update plugin-go to v0.7.1   Update logging setup in acceptance tests to acoomodate recent changes in terraform-plugin-go logging   Fix go modules ,0
191,Expose kubeconfig path out of Typhoon test environment. (#1035),0.7016481,Refactor Typhoon test configuration to allow selection of Kubernetes version (#992),,1
192,Merge pull request #121 from terraform-providers/t-expose-google-zone,0.54249525,Update terraform-plugin-go and terraform-plugin-sdk (#1551),add new team member,0
193,[COMPLIANCE] Update MPL 2.0 LICENSE (#1870),0.6430664,Clean up incompatible licenses. (#1238),,0
194,Add Autogenerate changelog generation (#1800),0.5669112,Generating changelog for release-v2.19.0 from v2.18.1...,,0
195,Add mutating_webhook_configuration_v1 data source (#1423),1.0,Add mutating_webhook_configuration_v1 data source (#1423),"Implement type hinting mechanism. We use this to carry over additional metadata from the OpenAPI conversion, in case the resulting types are aproximated with tftypes. The current use-case is the aproximation of IntOrString as tftypes.String while still being able to reconstruct it accurately when generating the API request payload. Also: * Extend Service manifest example with two types of targetPort values * Choose log level from all available env variables or default to off.",1
196,GKE test infra: base template path on module location (#330),0.49785668,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,Co-authored-by: Alex Somesan alex.somesan@gmail.com,0
197,Cleanup after v1.10.0 release,0.52641475,"2.6.0 (October 19, 2021)",,0
198,Transfer of provider website docs,0.68175155,Improve docs for configuring the provider (#1132),,0
199,Remove link to alpha provider (#1335),0.61319137,* Remove load_config_file attribute from provider block (#1052),Co-authored-by: John Houston jhouston@hashicorp.com,0
200,clarify and simplify the data source tests,0.55011964,Fix annotation diffs on affinity tests (#993),,0
201,Prepare changelog for v1.9.1,0.8252311,Generating changelog for release-v2.19.0 from v2.18.1...,,1
202,Extended example usage on how to include config files into config maps (#326),0.6231625,  - kubernetes_config_map,  update timeout and fix broken link   fix linting ,0
203,v1.11.3,0.7322187,"2.8.0 (February 09, 2022)",GKE test infra: use gcloud as auth provider,1
204,Make acceptance tests compatible w/ minikube,0.5623592,Update acceptance tests for tfproviderlint (#887),,0
205,resource/kubernetes_pod: Bump timeout to 5 mins,0.72671753,* Timeouts block on kubernetes_manifest,,1
206,Update documentation to reflect computed_attributes on the resource config.,0.6232959,* Update docs to reflect new schema for load_balancer_ingress (#1123),,0
207,Vendor github.com/Masterminds/semver,0.51748395,@St0rmingBr4in made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1802,,0
208,docs: Document new KUBE_TOKEN env var,0.6342099,Add new resource resource_kubernetes_env [GH-1838],,0
209,kubernetes_service: cluster_ip should support None (#1292),0.95491964,cluster_ip for kubernetes_service should support value None (#1291),,1
210,resource/kubernetes_persistent_volume: Mark persistent_volume_source as ForceNew on 1.9+,0.71182144,  - kubernetes_persistent_volume_claim_v1, Update GHA stale bot issue message  Update what the GHA bot leaves as a comment when marking a stale issue as stale. TH  refine stale bot message for clarity,1
211,r/service: Make spec.port.target_port optional,0.6948203,r/kubernetes_service: make spec.port block optional [GH-1856],,0
212,Allow updating deployment strategy from rolling to recreate (#1255),0.74024177,Resource kubernetes_deployment: allow changing strategy from rolling to recreate (#1255),,1
213,go fmt,0.46399015,Update all go modules (#1240),,0
214,Merge pull request #50 from terraform-providers/b-prevent-internal-annotations,0.56121624,Add diff suppression to persistent_volume and persistent_volume_claim (#1145),,0
215,Complete run of terrafmt.rb - format inline HCL in ACC tests (#230),0.48505187,Update acceptance tests for tfproviderlint (#887),,0
216,Bring back 'wait_until_bound' parameter on PVCs (#232),0.6754915,Allow in-place update of PVC's storage request (#957),,0
217,Copy test framework packages from terraform-plugin-sdk (#1666),0.7150805,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,1
218,Fix acceptance test issues from SDKv2 upgrade (#1055),0.66339827,Update acceptance tests for tfproviderlint (#887),,0
219,Fix invalid allowedHostPaths PodSecurityPolicy patch,1.0,Fix invalid allowedHostPaths PodSecurityPolicy patch,,1
220,"No need to skip TestProvider_configure unit test, just properly reset environment after run",0.5178089,* Add upgrade test for daemonset (#1064),,0
221,provider/kubernetes: Fix sorting of the PatchOperations (#13117),0.6333989,  - kubernetes_mutating_webhook_configuration_v1,,0
222,Add load_config_file = false to static configurations (#750),0.7498098,Add load_config_file = false to documented provider configurations,,1
223,kubernetes: Add provider + namespace resource,0.7655096,  - kubernetes_namespace,,1
224,meta: Treat internal k8s annotations as invalid,0.67143047,* Add missing annotations (#1289),,0
225,kubernetes_secret corrupts binary data on create,0.7823448,Datasource: kubernetes_secret: add binary_data attribute (#1285),,1
226,"Move resources manifest, labels, annotations, and data source resource under the subcategory manifest (#1681)",0.5615874,Add data sources for namespaces (#613),,0
227,unbreak tests,0.46285066,Update acceptance tests for tfproviderlint (#887),,0
228,Update github.com/keybase/go-crypto commit hash to b785b22,0.521145,Update Go dependencies (#968),,0
229,Fix perpetual diff in StatefulSet (#1098),0.851683,* Fix perpetual diff in StatefulSet when update_strategy is not specified (#1088),,1
230,Code review suggestions,0.4438073,Filter well known labels and annotations (#1253),,0
231,Prepare 1.6.2,0.62318134,"2.6.1 (October 22, 2021)","This commit adds a version suffix to each resource. Most resources are v1, with the exception of PodSecurityPolicy and HorizontalPodAutoscaler which also have v1beta1 and v2beta2 respectively. This is so Terrafom has an explicitly versioned schema for each resource version, rather than having to include attributes from different API versions in a single schema and figure out which API version needs to be used. This will make the provider easier to maintain, and subsequently to automate the code generation of resource schemas for each API version.",0
232,v1.6.1,0.6303972,"2.6.1 (October 22, 2021)",,0
233,Fix type-morphing of Map into Map,0.9492864,Fix type-morphing of Map into Map (#1521),,1
234,Fix conversion of big.Float to float64 in kubernetes_manifest (#1661),0.9999999,Fix conversion of big.Float to float64 in kubernetes_manifest (#1661),Co-authored-by: Phil Sautter psautter@hashicorp.com,1
235,test-infra: Allow testing against different K8S versions,0.6297326,Refactor Typhoon test configuration to allow selection of Kubernetes version (#992),,0
236,v2.0.2,0.7474693,"2.8.0 (February 09, 2022)",,1
237,Fix kubernetes default service account (#1586),0.8652605,Fix kubernetes_default_service_account doesn't set the automount_service_account_token to false (#1247),Co-authored-by: Daniel Sonck daniel@sonck.nl Co-authored-by: Ilia Lazebnik Ilia.lazebnik@gmail.com,1
238,[TK-1373] Update resource and data of 'kubernetes_(default_)service_account' to handle deprecated 'default_secret_name' in Kubernetes 1.24.0+ (#1792),0.80085367,"* Starting from Kubernetes 1.24.0 service account token is not automatically generated, thus it has to create separately. The following resources were updated to handle this change: d/kubernetes_service_account, r/kubernetes_default_service_account, r/kubernetes_service_account. For Kubernetes clusters running v1.24+ default_secret_name will be empty. A warning message will be printed once any of the above resources are in use. (#1792)",Co-authored-by: Alex Somesan alex.somesan@gmail.com,1
239,v2.0.0 upgrade guide and change log (#1077),0.7427499,Generating changelog for release-v2.19.0 from v2.18.1...,,1
240,vendor: google.golang.org/api/storage/v1/...@672d215d,0.508415,@dgnemo made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1915,,0
241,Migrate from GitHub HashiBot pull_request_size_labeler behavior to GitHub Actions (#1304),0.531838,* Change resources requests and limits to TypeMap (#1065),,0
242,Add more acceptance tests with managed internal annotations.,0.59965336,Fix annotation diffs on affinity tests (#993),,0
243,Add EnvFrom to container schema as env_from,0.5156076,Fix crash when container env block is empty,,0
244,vendor: google.golang.org/api/googleapi/...@e6586c92,0.47521502,@dgnemo made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1915,,0
245,Remove maintainer section with broken link (#197),0.6160958,Enable links check and fix 2 links (#1259),,0
246,Fix manifest re-create issue after import (#1716),0.7315974,Fix import ID syntax in manifest import docs,,1
247,Update test-infra for EKS (#1219),0.6573912,Add GitHub action for EKS acceptance tests (#1656),,0
248,Fix logo,0.56703746,Documentation fixes,,0
249,add pod-with-node-affinity & pod-with-pod-affinity examples,0.5644901,  - kubernetes_pod,,0
250,Fix example configuration for ServiceAccount token automount test. (#222),0.65908134,Add validations to service (#1273),,0
251,Merge pull request #187 from terraform-providers/fix-packet-infra,0.6530031,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
252,Allow setting kubernetes_job parallelism to zero (#1334),1.0,Allow setting kubernetes_job parallelism to zero (#1334),,1
253,vendor: github.com/aws/aws-sdk-go/...@v1.12.75,0.5539384,@Dudesons made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1805,,0
254,v0.1.0,0.65372616,"2.6.0 (October 19, 2021)",,0
255,Do not remove server side fields for datasources (#1802),0.5508554,Attribute ignore_annotations of provider (#746),,0
256,Add validation to 'external_traffic_policy',0.61408556,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),,0
257,Add support for ClusterRoleBinding,0.81830794,Add support for aggregation_rule to cluster_role resource (#911),,1
258,v1.4.0,0.6308026,"2.6.0 (October 19, 2021)",,0
259,Merge pull request #54 from terraform-providers/decouple-gcp-tests,0.5658382,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
260,Cleanup after v1.9.0 release,0.4984323,"2.6.0 (October 19, 2021)",,0
261,test-infra: Re-auth for kops@GCE deletion,0.6597607,resource/kubernetes_persistent_volume: add additional validation on the delete operation to make it idempotent [GH-1935],,0
262,Update README.md,0.6617493,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,,0
263,Add a new securityContext attribute 'seccomp_profile' to pod and container spec (#1617),0.89866745,Add a new attribute seccomp_profile to pod and container spec (#1617),,1
264,Acceptance test for emtpy blocks,0.5428513,Add GitHub action for EKS acceptance tests (#1656),Co-authored-by: John Houston jhouston@hashicorp.com Co-authored-by: Peter Hrvola peter.hrvola@wundermanthompson.com,0
265,Fix pod template node_selectors,0.66314554,Do not set default namespace for replication controller and deployment pod templates (#275),Co-authored-by: tuannvm tuannvm@hotmail.com Co-authored-by: John Houston jhouston@hashicorp.com,0
