Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
184,Add PipelineStep as possible job operation,0.6699854,"core: Custom Pipelines as a Tech Preview gives users the ability to define custom pipelines to run various Waypoint actions such as a build, deploy, release, up and more for deploying applications. Waypoint will monitor and log each pipeline run, associated jobs, and show the results of executing that pipeline. [GH-3777]",maint: Update nix environment,0
185,waypoint fmt,0.67262304,cli: New waypoint fmt command will autoformat your waypoint.hcl files [GH-1037],Update target group destroyer to wait for listener,0
186,ui: removed unused components and styling,0.5567075,ui: reformatted app overview page and header of artifact details page [GH-2606],Check target health before releasing ECS deployment,0
187,Merge pull request #2734 from hashicorp/tunzor-patch-1,0.48538688,existing server image is hashicorp/waypoint:latest [GH-3820],Add jq install to tools.Dockerfile,0
188,internal/ceb: convert invite token,0.60468566,core: Fix a rare panic when generating an invite token. [GH-3505],This commit replaces the custom go-tools layer as it was a work around for pinning go to an earlier version. The version of gotools pinned in the flake should be sufficient for day to day development,0
189,Generating Docs.,0.4961034,cli: Support and render new documentation subfields [GH-1213],,0
190,Merge pull request #3773 from hashicorp/fixes-to-k8s-installers,0.6693985,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],internal/runner: fix dropped error,0
191,enable hcl for future; revert nomad-dc flag,0.6825752,"install/nomad: if -nomad-dc flag is set, dc1 won't be set [GH-603]",,0
192,internal/server: BootstrapToken endpoint,0.5331551,cli: Fix missing bootstrap hint with server run command [GH-3196],Jira/include PRs,0
193,"Update to use ""nomad-jobspec"" in WithPlatform for resource manager.",0.8256079,plugin/nomad: Resource manager for Nomad jobspec [GH-2938],,1
194,"adding placeholder for depl,init,update",0.47013462,core: Update -from-project in waypoint init to handle local projects [GH-722],,0
195,Checkpoint - bringing testing back internal to avoid an import cycle.,0.4420573,and or releases status by relying on an existing platform for health checks.,remove comments,0
196,Merge pull request #4 from mitchellh/f-lambda-cleanup,0.51780885,plugin/lambda-function-url: Adds a new plugin and releaser component. This leverages Lambda URLs. [GH-3187],,0
197,Hero animation (#15),0.38367957,FEATURES:,chore(deps): bump github.com/hashicorp/go-getter from 1.6.1 to 1.7.0,0
198,go-bindata,0.40675256,* Waypoint now uses Go 1.19.4 to address security vulnerability (CVE-2022-41717) See the Go announcement for more details.,Bump github.com/prometheus/client_golang from 1.11.0 to 1.11.1,0
199,ci: Install latest go version for 1.19,0.6329277,* Update Go build version to 1.16.12 per Go security release,Bumps github.com/hashicorp/go-getter from 1.6.1 to 1.7.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/hashicorp/go-getter   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com,0
200,Merge pull request #3788 from hashicorp/f-pipeline-tracking-cli-task-job,0.65278363,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946],CLI: Enhance Job CLI UX for waypoint job list and waypoint job inspect,0
201,Add tests for application peek and complete funcs,0.47001985,"cli: Add a new command for inspecting project information, waypoint project inspect. [GH-2055]",chore: remove null from integrations release,0
202,Add commit information if available,0.55990916,core/api: include commit message in datasource/git response [GH-3457],,0
203,sdk/component: add ProtoMarshaler expectation and wire it through,0.4872232,"plugin/k8s: Introduce a new config option autoscale, which creates a horizontal",Makefile: Add top-level auto-gen command for our website docs,0
204,Updating docs to clarify local run process,0.5690867,core: Update -from-project in waypoint init to handle local projects [GH-722],cli: Add positional arg to waypoint runner profile set,0
205,builtin/vault/internal/auth: deprecate errwrap.Wrapf(),0.49729648,plugin/aws-ecs: Deployments delete their resources on failure. [GH-2098],,0
206,ui/mirage: make request logging clearer,0.56363773,cli/logs: entrypoint logs can now be seen alongside app logs and are colored differently [GH-855],,0
207,Add security groups parameter to alb stanza,0.6103483,plugin/aws/ecs: Add ability to specify security group IDs [GH-1919],"This commit hides Application and Pipeline details behind a verbose flag. These fields are useful, but maybe not all the time at the moment with Waypoint. They are still visible if the verbose flag is used, but by default will be hidden to keep the columns shorter and more useful.",0
208,internal/ceb: remove unnecessary if,0.48829606,cli: Ignore error on Unimplemented for health checks [GH-1596],"It's useful to know when a job has been queued, especially if they're stuck in queue. This commit adds queue time as one of the fields to show for the job list and job inspect CLIs. Fixes #4459",0
209,builtin/k8s: docs for config sourcer,0.7327112,builtin/k8s: Support multi-port application configs for deploy and release [GH-1092],,1
210,bug: do not reset runner profile default if flag not specified,0.8091445,cli: Do not set runner profile defaultness to false if default flag not specified. [GH-3702],,1
211,internal/serverinstall: run server run,0.6230917,server: store platform where server is installed to in server config [GH-1000],,0
212,make gen/website-mdx,0.47547224,cli: New waypoint fmt command will autoformat your waypoint.hcl files [GH-1037],Add changelog for v0.11.0,0
213,make gen/server,0.537818,to server install for Nomad. [GH-3500],Co-authored-by: Joe 83741749+paladin-devops@users.noreply.github.com,0
214,internal/cli: special error message if user tries to delete token auth,0.6176847,cli: server bootstrap will not give auth token errors [GH-1320],,0
215,modify pipeline list cli,0.7256466,cli: Introduce new CLI flag -reattach for waypoint pipeline run which will stream,v0.11.0 Upgrade Documentation,1
216,circle: push all tags of per commit images,0.5577018,"Dockerless image builds: Waypoint can now build, tag, pull, and push",,0
217,Merge pull request #2795 from hashicorp/store-runner-location,0.4307956,existing server image is hashicorp/waypoint:latest [GH-3820],Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
218,Merge pull request #3306 from hashicorp/f-watchtask,0.5302446,"core: Update TaskCancel to also cancel WatchTask job, if it was launched. [GH-3893]",,0
219,Merge pull request #2559 from hashicorp/improvement/job-depends,0.5024346,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946],,0
220,internal/server: rebase,0.58196354,cli: Refactor k8s server install to use Helm [GH-3335],Add API docs to website,0
221,Merge pull request #4278 from hashicorp/add_error_tests_joblist_pagination,0.4952404,core: improve runner job stream error logging [GH-3872],,0
222,ui/tests: specify include in global a11y setup,0.5689809,plugin/aws-lambda: Add platform config validation. [GH-3193],,0
223,ui: vendor just grpc-web package instead of repo,0.584354,"Currently, only the gRPC API is supported, but in the future an HTTP endpoint",,0
224,Tweaking log message,0.6568378,ui: Update empty logs message [GH-2925],Call out earlier in the guide that there is a bug with upgrading. Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
225,Merge pull request #3103 from hashicorp/chore/nit/makefile,0.45943293,core/api: include commit message in datasource/git response [GH-3457],Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
226,Merge pull request #4203 from hashicorp/add_pagination,0.5191674,server: Add pagination protobuffs and stubs for pagination in ListProjects [GH-4203],,0
227,Add #4418 to changelog,0.57979214,ui: Add label to “follow logs” button [GH-3732],Simplified some instructions and made some grammatical/vocabulary changes.,0
228,Revert output path for bin make target,0.4267582,"streams and receieve output, or get the output from an existing job stream that",,0
229,Upgrading argmapper,0.49855652,plugin/docker: Add support for build args for both docker and img builders [GH-1346],,0
230,Remove extra route typo,0.48519218,plugin/aws-alb: Use Route53 zone id when destroying a resource record [GH-3076],,0
231,internal/core: add proper subtype to Any values,0.520221,"cli: Add new context subcommand ""set"" to set the workspace value for the current",,0
232,Present job ID of non-exact match to user.,0.7164848,job id with no argument. [GH-4019],Co-authored-by: Brian Cain bcain@hashicorp.com,1
233,Warn if project from flags mismatches project from config,0.76251423,cli: Enhance warning for project flag mismatches when project parsed from config [GH-2815],,1
234,Website regen,0.5232987,http. [GH-2970],,0
235,Fixup up to perform build + deploy and optionally release,0.5839621,builtin/k8s: Support multi-port application configs for deploy and release [GH-1092],,0
236,Add probe comments,0.47914627,cli: Add context inspect command to aid in user enjoyment of waypoint contexts. [GH-1458],,0
237,Merge pull request #1734 from hashicorp/ui/lint-fixes-declaration-files,0.5550184,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],,0
238,ui: make gen/ts,0.44148844,ui: Improve the design of the Project Settings forms [GH-1335],,0
239,Show the stderr from kubectl too,0.54000485,"Kubernetes apply from a directory or file, and more. [GH-1298]",,0
240,ui/mirage: add application.fileChangeSignal,0.5683801,ui: Add ability to create a project from the browser UI [GH-1220],This commit updates the CLI to accept an arugment for creating or setting a runner profile. It also removes the behavior of creating a randomly generated profile name if no name was given. Fixes #4468,0
241,plugin/docker: Report on deploy status,0.86877936,plugin/docker: Add reporting on status of a deployment [GH-1487],Fix key for config sources in BoltDB,1
242,ui: configure auth in constructor,0.5751319,"plugin/docker: Add Docker auth support for builder and platform, and add config options for",Bumps github.com/prometheus/client_golang from 1.11.0 to 1.11.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: github.com/prometheus/client_golang   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
243,internal/mapper: Chain,0.47301847,cli: Print operation sequence ids and pushed artifact id [GH-3081],Records in the config_source bucket may contain invalid UTF-8 characters due to how such records were previously added to the database. This commit updates the index initialization to delete these records and re-create them with valid UTF-8 encoding in the key of the record.,0
